requirement,Component,Shape,Dimension,Color,Functionality,Domain,probable zone,css,type,Zone
The system shall synchronize chimes with warning indications.,Chime sync,rectangular,200x400,black,,,navigation_zone,,Chime sync_icon.png,
The system shall support additional variant handling.,Variant Handling (additionally 1 variant),rectangular,200x400,black,,,navigation_zone,,Variant Handling (additionally 1 variant)_icon.png,
The system shall manage infotainment state transitions.,State machine,Square,200x400,black,,,navigation_zone,,State machine_icon.png,
The system shall play a welcome/startup animation.,Welcome/Startup Animation,rectangular,300x500,black,,,header_zone,,Welcome/Startup Animation_icon.png,
The system shall display a shutdown/goodbye animation.,Shutdown/Goodbye animation,rectangular,300x500,black,,,main_content_zone,,Shutdown/Goodbye animation_icon.png,
The system shall support list animations for UI elements.,List Animations,Square,300x300,black,,,main_content_zone,,List Animations_icon.png,
The system shall provide smooth screen transition animations.,Screen Transistion animation,rectangular,300x500,black,,,main_content_zone,,Screen Transistion animation_icon.png,
The system shall display an ignition on/off animation.,Ign on/off animation,circular,300x300,black,,,main_content_zone,,Ign on/off animation_icon.png,
The system should display the total accumulated travel distance.,Odometer,circular,200x200,black,,,main_content_zone,".odometer-container { 
  width: 300px; 
  margin: 40px auto; 
} 
 
.gauge-arc { 
  position: relative; 
  width: 100%; 
  height: 150px; 
  border-top-left-radius: 150px; 
  border-top-right-radius: 150px; 
  border: 10px solid black; 
  border-bottom: none; 
  overflow: hidden; 
} 
 
.tick { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 6px; 
  height: 25px; 
  background-color: black; 
  transform-origin: bottom center; 
} 
 
.needle { 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  width: 6px; 
  height: 80px; 
  background-color: black; 
  transform-origin: bottom center; 
  transition: transform 0.5s ease-in-out; 
} 
 
.center-circle { 
  position: absolute; 
  bottom: -10px; 
  left: 50%; 
  width: 30px; 
  height: 30px; 
  background-color: white; 
  border: 6px solid black; 
  border-radius: 50%; 
  transform: translateX(-50%); 
} 
 
.display-box { 
  width: 80px; 
  height: 25px; 
  margin: 20px auto 0; 
  border: 5px solid black; 
  border-radius: 5px; 
} 
",Odometer_icon.png,
Users should be able to view the selected driving mode.,Drive mode,Square,100x100,black,,,header_zone,,Drive mode_icon.png,
The interface should indicate the active terrain setting.,Terrian Mode,Square,100x100,grey,,,header_zone,,Terrian Mode_icon.png,
A timekeeping element should display current time information.,Digital Clock,Square,100x100,black,,,header_zone,,Digital Clock_icon.png,
The system should present the ambient temperature outside the vehicle.,Outside Temperature,Square,100x100,black,,,header_zone,"{
  ""component"": ""OutsideTemperature"",
  ""style"": {
    ""width"": ""80px"",
    ""height"": ""200px"",
    ""borderRadius"": ""12px"",                   // Rounded corners for a softer look
    ""backgroundColor"": ""white"",
    ""border"": ""2px solid black"",
    ""display"": ""flex"",
    ""flexDirection"": ""column"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""padding"": ""10px"",
    ""boxShadow"": ""0px 4px 8px rgba(0, 0, 0, 0.1)"",
    ""fontSize"": ""40px"",
    ""color"": ""black"",
    ""margin"": ""10px""
  },
  ""icon"": ""?????"",
  ""label"": {
    ""text"": ""Outside Temp"",
    ""style"": {
      ""fontSize"": ""12px"",
      ""marginTop"": ""8px"",
      ""color"": ""black""
    }
  }
}",Outside Temperature_icon.png,
A numeric representation of the current vehicle velocity should be provided.,Digital Speed,rectangular,300x400,black,,,main_content_zone,,Digital Speed_icon.png,
The system should indicate the engine speed in digital format.,Digital RPM,rectangular,300x400,black,,,main_content_zone,".DigitalRPM { 
  width: 300px; 
  height: 150px; 
  position: relative; 
  margin: 40px auto; 
} 
 
.gauge { 
  width: 100%; 
  height: 100%; 
  border-radius: 100% 100% 0 0; 
  background: transparent; 
  position: relative; 
} 
 
.segments { 
  position: absolute; 
  width: 100%; 
  height: 100%; 
  top: 0; 
  left: 0; 
} 
 
.segment { 
  width: 6px; 
  height: 20px; 
  background-color: red; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
} 
 
.needle { 
  width: 4px; 
  height: 120px; 
  background-color: red; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.3s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: black; 
  border-radius: 50%; 
  position: absolute; 
  bottom: 0; 
  left: calc(50% - 10px); 
} ",Digital RPM_icon.png,
A digital readout should show the current power output.,Digital Power,rectangular,300x400,black,,,main_content_zone,,Digital Power_icon.png,
The interface should indicate the active transmission state.,Gear (PRNDL),Square,150x150,black,,,header_zone,".gear-selector {
  display: flex;
  align-items: center;
  font-family: sans-serif;
}

/* Labels: P R N D L */
.gear-labels {
  display: flex;
  flex-direction: column;
  gap: 10px;
  font-weight: bold;
  font-size: 20px;
  color: black;
  margin-right: 20px;
}

/* Vertical Track */
.gear-track {
  width: 40px;
  height: 180px;
  background-color: lightgray;
  border-radius: 20px;
  position: relative;
  display: flex;
  justify-content: center;
}

/* Gear Slider (movable) */
.gear-slider {
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 0; /* adjust dynamically via JS if needed */
}",Gear (PRNDL)_icon.png,
The system should display the current manual gear selection.,Gear (M1 to Mx),Square,150x150,black,,,header_zone,,Gear (M1 to Mx)_icon.png,
A visual cue should be available for optimal gear shifts.,Gear Shift Recommendation,Square,150x150,grey,,,main_content_zone,,Gear Shift Recommendation_icon.png,
The interface should respond to driver-initiated gear shifts.,Paddle Shifter,Square,80x80,grey,,,main_content_zone,,Paddle Shifter_icon.png,
A graphical element should represent the current vehicle speed.,Speedometer,circular,300x300,blue,,,main_content_zone,".speedometer-wrapper { 
  display: flex; 
  flex-direction: column; 
  align-items: center; 
  width: 300px; 
  margin: 0 auto; 
} 
 
.speedometer { 
  position: relative; 
  width: 280px; 
  height: 280px; 
  border: 2px solid black; 
  border-radius: 50%; 
  background-color: transparent; 
  overflow: hidden; 
} 
 
.ticks { 
  position: absolute; 
  width: 100%; 
  height: 100%; 
  top: 0; 
  left: 0; 
} 
 
.tick { 
  width: 2px; 
  height: 15px; 
  background-color: black; 
  position: absolute; 
  top: 10px; 
  left: 50%; 
  transform-origin: center bottom; 
} 
 
.tick.major { 
  height: 25px; 
  width: 3px; 
} 
 
.needle { 
  width: 4px; 
  height: 120px; 
  background-color: black; 
  position: absolute; 
  top: 40px; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.3s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: black; 
  border-radius: 50%; 
  position: absolute; 
  top: 130px; 
  left: 130px; 
} 
 
.unit-box { 
  margin-top: 10px; 
  border: 1px solid black; 
  width: 80px; 
  height: 30px; 
  display: flex; 
  align-items: center; 
  justify-content: center; 
} 
 
.unit { 
  font-weight: bold; 
  font-size: 14px; 
} 
 
.speed-label { 
  margin-top: 5px; 
  font-size: 18px; 
  font-weight: bold; 
} 
",Speedometer_icon.png,
A graphical representation should indicate engine revolutions.,Tachometer,circular,200x200,blue,,,main_content_zone,"{
  ""tachometer-wrapper"": {
    ""position"": ""relative"",
    ""width"": ""200px"",
    ""height"": ""200px"",
    ""borderRadius"": ""50%"",
    ""border"": ""12px solid black"",
    ""boxSizing"": ""border-box"",
    ""overflow"": ""hidden""
  },
  ""center-dot"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""50%"",
    ""width"": ""20px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%"",
    ""transform"": ""translate(-50%, -50%)""
  },
  ""needle"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""50%"",
    ""width"": ""6px"",
    ""height"": ""80px"",
    ""backgroundColor"": ""black"",
    ""transformOrigin"": ""bottom center"",
    ""transform"": ""translateX(-50%) rotate(-45deg)""
  },
  ""tick1"": {
    ""position"": ""absolute"",
    ""top"": ""10px"",
    ""left"": ""50%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""translateX(-50%) rotate(0deg)"",
    ""transformOrigin"": ""bottom center""
  },
  ""tick2"": {
    ""position"": ""absolute"",
    ""top"": ""20px"",
    ""left"": ""85%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""rotate(45deg)"",
    ""transformOrigin"": ""bottom center""
  },
  ""tick3"": {
    ""position"": ""absolute"",
    ""top"": ""50%"",
    ""left"": ""95%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""rotate(90deg)"",
    ""transformOrigin"": ""bottom center""
  },
  ""tick4"": {
    ""position"": ""absolute"",
    ""top"": ""85%"",
    ""left"": ""85%"",
    ""width"": ""4px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""transform"": ""rotate(135deg)"",
    ""transformOrigin"": ""bottom center""
  }
}",Tachometer_icon.png,
A visual gauge should display the current fuel level.,Fuel,rectangular,300x150,black,,,header_zone,".fuel-wrapper { 
  display: flex; 
  justify-content: center; 
  align-items: center; 
  width: 280px; 
  margin: auto; 
} 
 
.fuel-gauge { 
  position: relative; 
  width: 250px; 
  height: 130px; 
  border-top-left-radius: 125px; 
  border-top-right-radius: 125px; 
  background: transparent; 
  overflow: visible; 
} 
 
.ticks { 
  position: absolute; 
  top: 0; 
  left: 0; 
  width: 100%; 
  height: 100%; 
} 
 
.tick { 
  width: 3px; 
  height: 20px; 
  background-color: #333; 
  position: absolute; 
  top: 0; 
  left: 50%; 
  transform-origin: center bottom; 
} 
 
.needle { 
  width: 4px; 
  height: 100px; 
  background-color: #c40000; 
  position: absolute; 
  bottom: 0; 
  left: 50%; 
  transform-origin: bottom center; 
  transition: transform 0.4s ease-in-out; 
} 
 
.center-dot { 
  width: 20px; 
  height: 20px; 
  background-color: #333; 
  border-radius: 50%; 
  position: absolute; 
  bottom: 0; 
  left: calc(50% - 10px); 
} 
 
.label { 
  position: absolute; 
  font-weight: bold; 
  font-size: 20px; 
} 
 
.e-label { 
  bottom: 0; 
  left: 10px; 
  color: #b30000; 
} 
 
.f-label { 
  bottom: 0; 
  right: 10px; 
  color: #333; 
} 
 
.fuel-icon { 
  font-size: 20px; 
  position: absolute; 
  top: 35px; 
  left: 50%; 
 
",Fuel_icon.png,
An indicator should show the engine coolant temperature.,Coolant,rectangular,100x150,black,,,main_content_zone,".coolant-icon {
  width: 100px;
  height: 100px;
  background-color: white;
  position: relative;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Base container representing the thermometer pipe */
.coolant-icon .thermo-body {
  width: 20px;
  height: 70px;
  background-color: black;
  border-radius: 10px;
  position: relative;
}

/* Thermometer bulb at bottom */
.coolant-icon .thermo-bulb {
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  bottom: -15px;
  left: 50%;
  transform: translateX(-50%);
}

/* Heat waves (zigzag lines above) */
.coolant-icon .wave {
  width: 40px;
  height: 5px;
  background-color: black;
  position: absolute;
  left: 50%;
  transform: translateX(-50%) rotate(0deg);
}

/* Individual wave positions */
.coolant-icon .wave1 {
  top: 5px;
}
.coolant-icon .wave2 {
  top: 15px;
}
.coolant-icon .wave3 {
  top: 25px;
}",Coolant_icon.png,
A display should reflect the real-time power consumption.,Power,Square,150x150,black,,,main_content_zone,"{
  ""car-body"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""60px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""10px"",
    ""borderTopLeftRadius"": ""30px"",
    ""margin"": ""20px auto"",
    ""boxSizing"": ""border-box""
  },
  ""car-door"": {
    ""position"": ""absolute"",
    ""top"": ""20px"",
    ""left"": ""20px"",
    ""width"": ""20px"",
    ""height"": ""15px"",
    ""border"": ""3px solid black"",
    ""borderRadius"": ""4px"",
    ""boxSizing"": ""border-box""
  },
  ""car-front"": {
    ""position"": ""absolute"",
    ""top"": ""5px"",
    ""left"": ""-25px"",
    ""width"": ""30px"",
    ""height"": ""30px"",
    ""border"": ""4px solid black"",
    ""borderRight"": ""none"",
    ""borderRadius"": ""10px 0 0 10px"",
    ""boxSizing"": ""border-box""
  },
  ""bolt-circle"": {
    ""position"": ""absolute"",
    ""top"": ""-30px"",
    ""right"": ""-40px"",
    ""width"": ""60px"",
    ""height"": ""60px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""boxSizing"": ""border-box""
  },
  ""bolt"": {
    ""position"": ""absolute"",
    ""top"": ""-18px"",
    ""right"": ""-20px"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""10px solid transparent"",
    ""borderRight"": ""10px solid transparent"",
    ""borderBottom"": ""20px solid black"",
    ""transform"": ""rotate(25deg)""
  },
  ""bolt-tail"": {
    ""position"": ""absolute"",
    ""top"": ""-5px"",
    ""right"": ""-5px"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""6px solid transparent"",
    ""borderRight"": ""6px solid transparent"",
    ""borderTop"": ""15px solid black"",
    ""transform"": ""rotate(25deg)""
  }
}",Power_icon.png,
An indicator should show the regenerative energy being captured.,Regeneration,Square,150x150,black,,,main_content_zone,,Regeneration_icon.png,
A gauge should represent the remaining battery charge level.,Battery State of Charge Gauge,square,150x300,black,,,main_content_zone,".battery-gauge {
  width: 50px;
  height: 30px;
  border: 3px solid black; /* Outer battery body */
  border-radius: 4px;
  position: relative;
  background-color: white;
  display: flex;
  align-items: center;
  padding: 2px;
  box-sizing: border-box;
}

/* Battery terminal */
.battery-gauge::after {
  content: """";
  position: absolute;
  right: -6px;
  top: 30%;
  width: 4px;
  height: 40%;
  background-color: black;
  border-radius: 1px;
}

/* Battery level bars */
.battery-gauge .bar {
  height: 100%;
  background-color: black;
  margin-left: 2px;
  flex: 1;
  border-radius: 1px;
}

/* Empty space to simulate charge level */
.battery-gauge .bar.empty {
  background-color: transparent;
  border: 1px solid black;
}",Battery State of Charge Gauge_icon.png,
An indicator should show the level of Diesel Exhaust Fluid.,UREA (DEF) Gauge,rectangular,150x300,black,,,main_content_zone,,UREA (DEF) Gauge_icon.png,
A visual representation should indicate the remaining CNG level.,CNG Gauge,rectangular,190x280,black,,,main_content_zone,,CNG Gauge_icon.png,
A tracking system should record the distance traveled in trip mode A.,Trip A - Distance,Square,100x100,blue,,,main_content_zone,,Trip A - Distance_icon.png,
An element should display fuel efficiency for trip A.,Trip A - Mileage,Square,100x100,blue,,,main_content_zone,,Trip A - Mileage_icon.png,
The system should log the duration of trip A.,Trip A - Time,Square,100x100,blue,,,main_content_zone,,Trip A - Time_icon.png,
An indicator should display the average speed for trip A.,Trip A - Avg. Speed,Square,100x100,blue,,,main_content_zone,,Trip A - Avg. Speed_icon.png,
A tracking system should record the distance traveled in trip mode B.,Trip B - Distance,Square,100x100,blue,,,main_content_zone,,Trip B - Distance_icon.png,
An element should display fuel efficiency for trip B.,Trip B - Mileage,Square,100x100,blue,,,main_content_zone,,Trip B - Mileage_icon.png,
The system should log the duration of trip B.,Trip B - Time,Square,100x100,blue,,,main_content_zone,,Trip B - Time_icon.png,
An indicator should display the average speed for trip B.,Trip B - Avg. Speed,Square,100x100,blue,,,main_content_zone,,Trip B - Avg. Speed_icon.png,
The system should indicate the estimated distance that can be traveled with the remaining fuel or charge.,Cruising range,rectangular,100x100,black,,,main_content_zone,,Cruising range_icon.png,
A visual representation should show the estimated electric driving range.,Electric range display,rectangular,150x300,black,,,footer_zone,,Electric range display_icon.png,
The interface should present real-time fuel consumption data.,Instantaneous fuel consumption display,rectangular,150x300,black,,,footer_zone,".Instantaneous-Fuel-Consumption-Display  {
  position: relative;
  width: 200px;
  height: 200px;
  border-radius: 50%;
  border: 5px solid black;
  background: white;
  margin: 20px;
}

.gauge-arc {
  position: absolute;
  top: 50%;
  left: 50%;
  width: 8px;
  height: 80px;
  background: black;
  transform-origin: bottom center;
  transform: rotate(45deg); /* Needle angle can be dynamically updated */
}

.labels {
  position: absolute;
  bottom: 10px;
  width: 100%;
  display: flex;
  justify-content: space-between;
  padding: 0 15px;
  font-size: 20px;
  font-weight: bold;
}",Instantaneous fuel consumption display_icon.png,
A calculated value should reflect the average fuel efficiency over a trip or period.,Average fuel consumption,Square,150x300,black,,,footer_zone,,Average fuel consumption_icon.png,
The system should display real-time power usage data.,Instantaneous power consumption,rectangular,150x300,black,,,footer_zone,,Instantaneous power consumption_icon.png,
A calculated value should indicate the average power consumption over time.,Average power consumption,rectangular,150x300,black,,,footer_zone,,Average power consumption_icon.png,
A set of static indicators should be available to convey vehicle status.,QM Telltales - Static Slot (30 Telltales),rectangular,50x50 ,black,,,main_content_zone,,QM Telltales - Static Slot (30 Telltales)_icon.png,
A set of dynamic slots should accommodate multiple telltale indicators.,"QM Telltales - Sharable Slot (30 Telltales, 10 Slots)",rectangular,50x150,black,,,main_content_zone,,"QM Telltales - Sharable Slot (30 Telltales, 10 Slots)_icon.png",
A specialized set of indicators should display critical safety-related information.,ASIL-B Telltales (10 TT),Square,50x50 ,black,,,main_content_zone,,ASIL-B Telltales (10 TT)_icon.png,
A function should validate the operability of all telltale indicators.,Telltale Self Test,rectangular,200x400,black,,,main_content_zone,,Telltale Self Test_icon.png,
Visual notifications should appear without text for immediate recognition.,Static Popup/Alert  -  Icon only   (50 Alerts),rectangular,100x100 ,grey,,,header_zone,,Static Popup/Alert  -  Icon only   (50 Alerts)_icon.png,
Alert messages should be conveyed using both icons and text.,Static Popup/Alert  - Icon + Text (50 Alerts),rectangular,150x300 ,grey,,,header_zone,,Static Popup/Alert  - Icon + Text (50 Alerts)_icon.png,
Important notifications should be displayed using text alone.,Static Popup/Alert  -  Text only   (50 Alerts),rectangular,100x300 ,blue,,,header_zone,,Static Popup/Alert  -  Text only   (50 Alerts)_icon.png,
The system should provide animated or temporary notifications for user awareness.,Dynamic Popup/Alert  (25 Alerts),rectangular,200x400 ,black,,,main_content_zone,,Dynamic Popup/Alert  (25 Alerts)_icon.png,
The interface should support multiple information zones for distinct categories.,"Multi Zone display (Left, Right & Top)",rectangular,300x500 ,black,,,main_content_zone,,"Multi Zone display (Left, Right & Top)_icon.png",
The media interface should display the title of the currently playing track.,Current Track name,rectangular,150x300 ,blue,,,main_content_zone,,Current Track name_icon.png,
A timer should indicate the elapsed or remaining duration of the track.,Current Track time,rectangular,150x300 ,blue,,,main_content_zone,,Current Track time_icon.png,
The media system should visually represent the active audio source and album artwork.,Source Icons & Album art image,rectangular,150x300 ,grey,,,main_content_zone,,Source Icons & Album art image_icon.png,
An indicator should reflect the current audio volume level.,Volume,rectangular,100x300,grey,,,navigation_zone,"{
  ""volume-icon"": {
    ""position"": ""relative"",
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderTop"": ""25px solid transparent"",
    ""borderBottom"": ""25px solid transparent"",
    ""borderLeft"": ""40px solid black"",
    ""marginLeft"": ""10px""
  },
  ""speaker-body"": {
    ""position"": ""absolute"",
    ""top"": ""10px"",
    ""left"": ""-30px"",
    ""width"": ""20px"",
    ""height"": ""30px"",
    ""backgroundColor"": ""black""
  },
  ""wave1"": {
    ""position"": ""absolute"",
    ""top"": ""8px"",
    ""left"": ""50px"",
    ""width"": ""15px"",
    ""height"": ""15px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""borderLeft"": ""none"",
    ""borderBottom"": ""none"",
    ""transform"": ""rotate(45deg)""
  },
  ""wave2"": {
    ""position"": ""absolute"",
    ""top"": ""0px"",
    ""left"": ""70px"",
    ""width"": ""25px"",
    ""height"": ""25px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""borderLeft"": ""none"",
    ""borderBottom"": ""none"",
    ""transform"": ""rotate(45deg)""
  },
  ""wave3"": {
    ""position"": ""absolute"",
    ""top"": ""-10px"",
    ""left"": ""95px"",
    ""width"": ""35px"",
    ""height"": ""35px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""borderLeft"": ""none"",
    ""borderBottom"": ""none"",
    ""transform"": ""rotate(45deg)""
  }
}",Volume_icon.png,
A list of available media files should be accessible for selection.,Media list,rectangular,400x300,black,,,navigation_zone,,Media list_icon.png,
"The radio interface should show the station name, RDS info, and frequency.","Current Radio name, RDS, Freq",rectangular,400x300,black,,,main_content_zone,".radio-signal {
  width: 100px;
  height: 100px;
  position: relative;
  background-color: white;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Central circle (signal source) */
.radio-signal .center-dot {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  z-index: 2;
}

/* Antenna legs */
.radio-signal .leg {
  width: 10px;
  height: 60px;
  background-color: black;
  position: absolute;
  bottom: 10px;
  transform-origin: top center;
}

.radio-signal .left-leg {
  transform: rotate(-25deg);
  left: 35%;
}

.radio-signal .right-leg {
  transform: rotate(25deg);
  right: 35%;
}

/* Signal waves */
.radio-signal .wave {
  position: absolute;
  border: 4px solid black;
  border-radius: 50%;
  border-left-color: transparent;
  border-right-color: transparent;
  background: none;
}

.radio-signal .wave1 {
  width: 40px;
  height: 40px;
  top: 10px;
  left: 30px;
}

.radio-signal .wave2 {
  width: 60px;
  height: 60px;
  top: 0px;
  left: 20px;
}","Current Radio name, RDS, Freq_icon.png",
A graphical element should indicate the current radio source.,Radio Source icon,circular,200x200,black,,,main_content_zone,".radio-signal {
  width: 100px;
  height: 100px;
  position: relative;
  background-color: white;
  display: flex;
  justify-content: center;
  align-items: center;
}

/* Central circle (signal source) */
.radio-signal .center-dot {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  z-index: 2;
}

/* Antenna legs */
.radio-signal .leg {
  width: 10px;
  height: 60px;
  background-color: black;
  position: absolute;
  bottom: 10px;
  transform-origin: top center;
}

.radio-signal .left-leg {
  transform: rotate(-25deg);
  left: 35%;
}

.radio-signal .right-leg {
  transform: rotate(25deg);
  right: 35%;
}

/* Signal waves */
.radio-signal .wave {
  position: absolute;
  border: 4px solid black;
  border-radius: 50%;
  border-left-color: transparent;
  border-right-color: transparent;
  background: none;
}

.radio-signal .wave1 {
  width: 40px;
  height: 40px;
  top: 10px;
  left: 30px;
}

.radio-signal .wave2 {
  width: 60px;
  height: 60px;
  top: 0px;
  left: 20px;
}",Radio Source icon_icon.png,
A list of available radio stations should be displayed for selection.,Radio List & Selection of track,Square,400x400,black,,,main_content_zone,,Radio List & Selection of track_icon.png,
An interface element should indicate an active phone call.,Ongoing Call,Square,400x400,black,,,main_content_zone,,Ongoing Call_icon.png,
A notification should inform the user of missed calls.,Missed call,Square,400x400,black,,,main_content_zone,"{
  ""/* Container for the missed call icon */"": {},
  "".missed-call-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".missed-call-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Missed call_icon.png,
An alert should notify the user of an incoming call.,Incoming call,Square,400x400,black,,,main_content_zone,"{
  ""/* Container for the incoming call icon */"": {},
  "".incoming-call-icon"": {
    ""width"": ""64px"",
    ""height"": ""64px"",
    ""display"": ""flex"",
    ""justify-content"": ""center"",
    ""align-items"": ""center"",
    ""border"": ""2px solid black"",      /* Icon border */
    ""border-radius"": ""12px"",          /* Rounded edges */
    ""background-color"": ""white"",      /* Icon background */
    ""box-shadow"": ""2px 2px 6px rgba(0, 0, 0, 0.2)"" /* Subtle shadow */
  },

  ""/* Actual image inside the icon container */"": {},
  "".incoming-call-icon .icon"": {
    ""width"": ""100%"",
    ""height"": ""100%"",
    ""object-fit"": ""contain"",
    ""filter"": ""invert(0%)""            /* Keeps icon black on white bg */
  }
}",Incoming call_icon.png,
The system should indicate when multiple callers are in a session.,Conferrence call,Square,400x400,black,,,main_content_zone,".conference-call {
  width: 100px;
  height: 100px;
  position: relative;
  background-color: white;
}

/* Central user (bottom circle) */
.conference-call .user-center {
  width: 30px;
  height: 30px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  bottom: 10px;
  left: 50%;
  transform: translateX(-50%);
}

/* Central user's shoulders */
.conference-call .shoulders-center {
  width: 60px;
  height: 20px;
  background-color: black;
  border-radius: 10px / 5px;
  position: absolute;
  bottom: 0;
  left: 50%;
  transform: translateX(-50%);
}

/* Top-left user circle */
.conference-call .user-left {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 10px;
  left: 10px;
}

/* Top-left user shoulders */
.conference-call .shoulders-left {
  width: 40px;
  height: 12px;
  background-color: black;
  border-radius: 10px / 4px;
  position: absolute;
  top: 25px;
  left: 2px;
}

/* Top-right user circle */
.conference-call .user-right {
  width: 20px;
  height: 20px;
  background-color: black;
  border-radius: 50%;
  position: absolute;
  top: 10px;
  right: 10px;
}

/* Top-right user shoulders */
.conference-call .shoulders-right {
  width: 40px;
  height: 12px;
  background-color: black;
  border-radius: 10px / 4px;
  position: absolute;
  top: 25px;
  right: 2px;
}",Conferrence call_icon.png,
"Users should be able to view contacts, call logs, and initiate calls.","Phone Book list, Missed call list & Call initiation",rectangular,400x300,black,,,main_content_zone,,"Phone Book list, Missed call list & Call initiation_icon.png",
The system should provide real-time navigation map updates synchronized with vehicle movement.,Navigation map projection & sync,Square,400x400,black,,,main_content_zone,"{
  ""component"": ""NavigationMapSyncIcon"",
  ""style"": {
    ""position"": ""relative"",
    ""width"": ""120px"",
    ""height"": ""120px"",
    ""borderRadius"": ""50%"",
    ""border"": ""4px solid black"",
    ""boxSizing"": ""border-box"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""backgroundColor"": ""white""
  },
  ""elements"": {
    ""compass-needle"": {
      ""position"": ""absolute"",
      ""width"": ""4px"",
      ""height"": ""60px"",
      ""backgroundColor"": ""black"",
      ""transformOrigin"": ""bottom center"",
      ""transform"": ""rotate(45deg)""
    },
    ""sync-arrow1"": {
      ""position"": ""absolute"",
      ""top"": ""20px"",
      ""left"": ""20px"",
      ""width"": ""0"",
      ""height"": ""0"",
      ""borderTop"": ""10px solid transparent"",
      ""borderBottom"": ""10px solid transparent"",
      ""borderLeft"": ""15px solid black"",
      ""transform"": ""rotate(45deg)""
    },
    ""sync-arrow2"": {
      ""position"": ""absolute"",
      ""bottom"": ""20px"",
      ""right"": ""20px"",
      ""width"": ""0"",
      ""height"": ""0"",
      ""borderTop"": ""10px solid transparent"",
      ""borderBottom"": ""10px solid transparent"",
      ""borderRight"": ""15px solid black"",
      ""transform"": ""rotate(-135deg)""
    }
  }
}",Navigation map projection & sync_icon.png,
Turn-by-turn navigation icons should be displayed for route guidance.,TBT icons,Square,100x100,black,,,main_content_zone,,TBT icons_icon.png,
Users should be able to browse and select destinations from a list.,Destination list & selection,rectangular,200x400,black,,,main_content_zone,,Destination list & selection_icon.png,
The interface should support multiple language options for accessibility.,Language,Square,100x300,black,,,main_content_zone,,Language_icon.png,
Measurement units should be configurable based on user preference.,Unit,Square,100x300,black,,,main_content_zone,,Unit_icon.png,
Users should be able to view and switch between different driving modes.,Drive mode,circular,200x200,black,,,main_content_zone,,Drive mode_icon.png,
